Gene	Ctrl1	Ctrl2	Ctrl3	Ctrl4	Ctrl5	Ctrl6	Ctrl7	Ctrl8	Ctrl9	Ctrl10	Ctrl11	Ctrl12	Ctrl13	Ctrl14	Ctrl15	Ctrl16	Ctrl17	Ctrl18	Ctrl19	Ctrl20	Ctrl21	Ctrl22	Ctrl23	Ctrl24	Ctrl25	Ctrl26	Ctrl27	A01	A02	Lag10	Lag12	Lag14	Lag21	Lag28	Lag30	Lag32	Lag35	Lag40	Lag43	Lag63	Lag65	Lag66	Lag69	Lag71	Lag72	Lag75	Lag78	Lag79	Lag81	Lag84	Lag85	Lag87	Lag89	Lag91
SPB3	9.94544	6.50148	5.93128	6.1662	7.62923	5.7585	6.74147	8.04439	8.15987	6.60881	6.48936	6.97978	7.53138	8.2008	7.31288	8.53138	7.04439	5.62803	7.06609	8.07146	9.49985	7.80735	10.5314	9.41574	4.99592	5.99608	8.8392	12.6751	10.9144	11.8178	12.2497	12.3219	10.9144	8.85798	10.1923	7.52356	8.17991	11.42	9.60363	8.87037	8.95128	12.2935	9.00562	8.74147	11.2644	10.2408	12.4305	5.87141	12.0224	9.60918	13.4383	7.09803	9.19229	11.1485
CASPE	12.1325	6.78839	9.25267	8.09276	5.15312	7.86424	6.64848	4.7961	5.27416	6.54522	7.69576	7.56986	5.83685	4.61709	7.1689	8.82972	6.87362	9.21675	7.15987	9.04985	4.54122	5.01322	9.57175	6.90689	7.05528	6.02412	8.2384	12.3498	11.2644	9.82972	10.6707	9.96578	12.0735	7.76155	7.12928	4.49887	7.13955	12.06	10.5216	7.73471	9.42206	11.5362	9.68475	6.57264	9.65821	11.5934	11.0498	10.5981	12.5887	7.55459	12.8823	5.65492	8.96	11.1357
SPRR3	11.888	8.7211	8.6865	6.20923	9.01402	6.26269	5.97105	8.81057	9.79116	8.34873	9.633	9.59246	5.68049	12.3443	6.67838	8.20945	9.15987	10.6257	8.91588	11.1163	8.76818	10.6348	9.49586	10.3219	6.57677	11.7524	11.0634	11.2467	12.8198	10.0498	11.2046	10.8765	12.6119	10.4615	9.88874	11.8297	9.98014	11.8494	10.9144	10.6348	8.15482	14.4383	9.92184	10.0084	12.8669	13.8533	9.95274	10.3443	13.3304	11.4147	10.4818	11.4252	5.7586	11.6165
DEF3	7.09607	5.4992	7.47573	13.3853	6.54901	9.47371	9.16742	10.1674	8.64386	14.0785	6.59947	12.2586	9.62388	6.05256	13.8435	12.1923	9.91438	10.2167	12.6662	11.2467	12.8899	8.49586	9.50383	6.37369	9.14721	6.18968	5.5463	12.5507	13.1277	14.1752	13.3443	14.7936	15.8012	10.0498	13.1815	6.94198	5.93723	14.5447	9.07682	4.96473	11.388	15.3443	11.6303	8.88874	13.3987	14.2512	13.5018	10.4094	14.3786	7.81378	11.0768	5.09065	10.9658	9.83447
ARGI1	10.0084	8.15482	7.18982	9.14211	7.03342	9.03617	6.79861	6.47747	9.35094	8.51964	7.11894	8.27146	10.6165	7.84549	6.29926	9.72281	7.90689	10.6439	7.45943	7.8392	7.60649	4.87771	9.71939	8.73471	7.96	7.07682	6.30885	12.1768	11.1293	10.1163	11.7977	11.9476	12.2318	4.44549	8.70736	7.23638	6.80735	11.7855	8.35755	7.61471	10.4512	11.4919	10.42	5.63174	10.3987	10.6528	11.4147	9.45533	12.279	8.7211	12.5142	8.18982	11.2644	11.3332
K22O	5.95886	12.3526	6.16599	8.81057	13.7936	9.99435	8.21432	9.09803	6.34026	6.53746	6.24628	8.93369	12.9748	8.79442	13.1082	8.14975	11.4666	9.25739	10.1293	5.89803	8.71768	8.33092	13.1969	11.2819	6.44243	11.2644	5.12827	10.7398	12.2107	12.42	7.1255	7.78136	13.4893	9.0607	10.3443	9.92778	10.9513	13.412	12.5265	12.7997	6.46093	13.0566	9.07682	7.69078	13.7099	13.6551	12.8057	13.9476	13.5507	5.2897	12.8098	6.74883	12.8238	12.4717
TALDO	10.388	5.63552	5.82769	5.82197	5.22012	8.33985	8.76155	7.77479	5.51296	9.03342	9.5216	10.0498	11.2877	9.01402	9.88264	10.7977	5.34688	6.64627	6.04045	9.224	6.98868	5.69727	6.70598	5.9567	10.8376	8.2854	6.64469	11.0293	10.1033	10.3663	10.5314	12.6618	10.7566	6.01613	8.43463	11.1293	6.02308	10.973	9.78136	5.32433	10.6348	13.0241	9.69697	6.12973	9.18735	11.4512	11.8098	10.6348	10.42	6.48424	11.446	8.74819	8.7039	9.36194
PRTN3	5.88052	7.8392	8.14975	7.55459	7.32193	8.97154	9	8.75822	8.51964	9.66178	7.73471	11.2228	9.01123	9.31741	10.8611	8.84235	8.30834	8.31741	6.1707	4.95664	11.6751	6.90689	7.49985	8.79442	9.18488	8.72792	7.9542	13.1261	11.6165	12.7586	9.79928	13.8435	11.9031	9.56415	10.2046	7.52356	8.03342	11.4409	8.37069	8.66178	12.3359	13.2747	11.2167	9.58496	7.59991	8.07682	12.5338	6.77378	12.3853	9.37286	9.50581	9.75656	9.7039	7.62205
GGCT	9.64566	6.84549	7.9453	8.8392	9.66711	7.05245	9.13699	5.88411	7.11894	8.86419	5.53629	9.64566	9.47167	6.13915	9.29692	10.2408	5.96806	8.18488	7.12928	8.84862	8.90989	7.14975	7.98868	8.91588	9.14211	7.72792	6.41619	10.8376	10.697	9.55267	9.99435	10.6618	10.7814	7.62936	8.27146	8.26209	8.71425	11.0014	9.11374	8.75822	10.0224	11.8727	9.51767	8.3966	8.54689	11.3663	10.2167	9.06609	11.3934	9.75322	12.42	8.10852	10.2046	10.9293
FABP5	10.4717	6.21653	10.1923	9.49185	5.86918	8.42206	6.74865	6.90192	9.91588	12.2497	7.42924	6.08591	8.91289	11.5362	9.51175	6.31171	8.80735	11.8337	10.3554	12.2644	11.8178	7.74819	9.53722	10.0084	6.07383	8.42626	10.2761	12.4094	12.3163	11.5459	10.944	12.4818	12.6883	4.92235	12.0768	11.7566	8.80413	12.2556	11.7773	8.40088	9.31061	14.0102	6.19243	9.80252	13.26	14.1596	12.2674	9.67243	13.2718	9.66356	10.6348	6.46242	8.33092	10.6073
